inj_id,layer_injected,weight_coords,bit_to_change,desired_size,top_one_correct,masked,non_critical,critical
0,conv_proj.weight, 589  0  0  6 ,8,1101,1035,0,1101,0
1,conv_proj.weight, 126  1  10  9 ,20,1101,1035,0,1101,0
2,conv_proj.weight, 727  2  7  9 ,26,1101,1035,0,1099,2
3,conv_proj.weight, 401  1  2  10 ,8,1101,1035,0,1101,0
4,conv_proj.weight, 297  1  10  2 ,17,1101,1035,0,1101,0
5,conv_proj.weight, 604  1  0  1 ,30,1101,25,0,26,1075
6,conv_proj.weight, 300  0  2  9 ,18,1101,1035,0,1101,0
7,conv_proj.weight, 564  0  9  10 ,3,1101,1035,0,1101,0
8,conv_proj.weight, 541  2  4  1 ,4,1101,1035,0,1101,0
9,conv_proj.weight, 616  0  12  6 ,3,1101,1035,0,1101,0
10,conv_proj.weight, 174  0  14  10 ,16,1101,1035,0,1101,0
11,conv_proj.weight, 313  2  5  10 ,19,1101,1035,0,1101,0
12,conv_proj.weight, 546  0  13  5 ,17,1101,1035,0,1101,0
13,conv_proj.weight, 643  0  13  12 ,18,1101,1035,0,1101,0
14,conv_proj.weight, 431  2  6  12 ,15,1101,1035,0,1101,0
15,conv_proj.weight, 422  2  2  7 ,21,1101,1035,0,1101,0
16,conv_proj.weight, 44  2  14  8 ,14,1101,1035,0,1101,0
17,conv_proj.weight, 461  2  13  6 ,9,1101,1035,0,1101,0
18,conv_proj.weight, 329  1  11  11 ,18,1101,1035,0,1101,0
19,conv_proj.weight, 712  2  2  5 ,9,1101,1035,0,1101,0
20,conv_proj.weight, 675  2  9  12 ,4,1101,1035,0,1101,0
21,conv_proj.weight, 255  0  11  9 ,15,1101,1035,0,1101,0
22,conv_proj.weight, 403  2  12  14 ,8,1101,1035,0,1101,0
23,conv_proj.weight, 271  2  10  15 ,23,1101,1035,0,1101,0
24,conv_proj.weight, 620  0  14  11 ,19,1101,1035,0,1101,0
25,conv_proj.weight, 668  0  7  8 ,25,1101,1035,0,1101,0
26,conv_proj.weight, 428  1  3  7 ,8,1101,1035,0,1101,0
27,conv_proj.weight, 379  1  0  14 ,16,1101,1035,0,1101,0
28,conv_proj.weight, 583  0  7  6 ,7,1101,1035,0,1101,0
29,conv_proj.weight, 132  1  15  7 ,15,1101,1035,0,1101,0
30,conv_proj.weight, 566  0  14  15 ,1,1101,1035,0,1101,0
31,conv_proj.weight, 688  1  2  10 ,29,1101,1035,0,1101,0
32,conv_proj.weight, 96  0  8  1 ,5,1101,1035,0,1101,0
33,conv_proj.weight, 262  2  1  9 ,15,1101,1035,0,1101,0
34,conv_proj.weight, 316  0  10  14 ,14,1101,1035,0,1101,0
35,conv_proj.weight, 284  2  12  6 ,19,1101,1035,0,1101,0
36,conv_proj.weight, 451  2  10  1 ,21,1101,1035,0,1101,0
37,conv_proj.weight, 20  1  8  8 ,7,1101,1035,0,1101,0
38,conv_proj.weight, 115  0  7  3 ,27,1101,1035,0,1101,0
39,conv_proj.weight, 144  0  7  5 ,3,1101,1035,0,1101,0
40,conv_proj.weight, 332  0  1  13 ,16,1101,1035,0,1101,0
41,conv_proj.weight, 544  0  8  0 ,14,1101,1035,0,1101,0
42,conv_proj.weight, 481  1  0  4 ,20,1101,1035,0,1101,0
43,conv_proj.weight, 74  0  8  9 ,19,1101,1035,0,1101,0
44,conv_proj.weight, 352  0  12  4 ,22,1101,1035,0,1101,0
45,conv_proj.weight, 757  1  15  9 ,4,1101,1035,0,1101,0
46,conv_proj.weight, 59  2  7  11 ,26,1101,1035,0,1101,0
47,conv_proj.weight, 764  1  1  7 ,1,1101,1035,0,1101,0
48,conv_proj.weight, 419  1  0  3 ,6,1101,1035,0,1101,0
49,conv_proj.weight, 18  0  1  8 ,6,1101,1035,0,1101,0
50,conv_proj.weight, 576  0  11  12 ,21,1101,1035,0,1101,0
51,conv_proj.weight, 49  0  13  15 ,30,1101,25,0,26,1075
52,conv_proj.weight, 335  0  13  3 ,9,1101,1035,0,1101,0
53,conv_proj.weight, 407  0  14  0 ,27,1101,1035,0,1101,0
54,conv_proj.weight, 567  0  0  4 ,3,1101,1035,0,1101,0
55,conv_proj.weight, 305  1  12  10 ,8,1101,1035,0,1101,0
56,conv_proj.weight, 346  1  5  15 ,18,1101,1035,0,1101,0
57,conv_proj.weight, 329  1  8  14 ,6,1101,1035,0,1101,0
58,conv_proj.weight, 266  0  14  5 ,31,1101,1035,0,1101,0
59,conv_proj.weight, 403  0  3  0 ,19,1101,1035,0,1101,0
60,conv_proj.weight, 680  2  0  0 ,18,1101,1035,0,1101,0
61,conv_proj.weight, 183  1  13  7 ,11,1101,1035,0,1101,0
62,conv_proj.weight, 583  0  10  8 ,23,1101,1035,0,1101,0
63,conv_proj.weight, 654  2  3  1 ,13,1101,1035,0,1101,0
